@relation weather.symbolic

@attribute outlook {sunny, overcast, rainy}
@attribute temperature {hot, cool}
@attribute humidity {high, normal}
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
sunny,hot,normal,FALSE,yes
sunny,hot,normal,TRUE,yes
sunny,cool,normal,FALSE,yes
sunny,cool,high,FALSE,no
sunny,cool,high,TRUE,no
sunny,cool,normal,TRUE,yes
overcast,hot,high,FALSE,no
overcast,hot,high,TRUE,no
overcast,hot,normal,FALSE,yes
overcast,hot,normal,TRUE,yes
overcast,cool,normal,FALSE,yes
overcast,cool,high,FALSE,no
overcast,cool,high,TRUE,no
overcast,cool,normal,TRUE,yes
rainy,hot,high,FALSE,no
rainy,hot,high,TRUE,no
rainy,hot,normal,FALSE,yes
rainy,hot,normal,TRUE,yes
rainy,cool,normal,FALSE,yes
rainy,cool,high,FALSE,no
rainy,cool,high,TRUE,no
rainy,cool,normal,TRUE,yes
